area_type,route_type,hour,day_of_week,weather,rainfall_mm,traffic_index,passenger_load_pct,scheduled_headway_min,stop_count,distance_km,road_condition,previous_delay_min,special_event,delay_minutes,delay_category
Rural,Local Bus,21,1,Clear,1.0,4.35,82.36,11.54,15,14.32,Average,6.9,0,16.29,Major Delay
Urban,Local Bus,14,2,Rain,1.82,28.55,33.9,12.88,13,3.53,Average,0.0,0,12.73,Moderate Delay
Rural,Express Bus,16,6,Heavy Rain,1.63,25.13,48.39,19.18,19,9.48,Good,0.0,0,14.96,Moderate Delay
Rural,Local Bus,11,0,Clear,4.87,32.58,61.25,13.65,16,4.6,Good,2.74,0,6.5,Moderate Delay
Urban,Local Bus,21,0,Rain,0.95,54.9,93.14,17.71,25,16.97,Good,3.98,0,14.41,Moderate Delay
Rural,Local Bus,6,2,Rain,7.2,60.44,66.63,4.56,5,7.13,Good,3.79,0,13.84,Moderate Delay
Rural,Express Bus,9,4,Rain,4.72,24.84,41.75,7.38,13,10.56,Good,2.52,0,23.49,Major Delay
Rural,Feeder Bus,22,5,Clear,1.5,29.84,39.52,14.19,17,12.76,Average,0.0,0,6.82,Moderate Delay
Urban,Express Bus,13,3,Clear,0.48,72.92,77.7,9.65,7,7.27,Good,6.4,0,11.95,Moderate Delay
Urban,Feeder Bus,8,3,Clear,4.59,87.22,51.73,12.77,18,5.0,Average,9.41,0,18.74,Major Delay
Urban,Express Bus,12,6,Rain,0.22,76.89,33.38,18.48,9,11.93,Poor,5.05,0,16.44,Major Delay
Rural,Express Bus,9,1,Rain,1.33,10.13,78.28,9.18,32,2.0,Good,0.6,0,11.2,Moderate Delay
Urban,Local Bus,14,6,Clear,2.91,75.36,64.16,9.59,8,17.71,Poor,0.0,0,19.03,Major Delay
Rural,Express Bus,9,2,Clear,2.68,90.63,34.12,14.66,17,10.32,Good,11.8,0,10.11,Moderate Delay
Urban,Local Bus,12,1,Clear,1.56,8.99,31.19,3.0,12,3.63,Average,2.63,0,11.61,Moderate Delay
Urban,Local Bus,21,6,Cloudy,6.8,72.9,14.65,20.05,17,9.68,Poor,10.11,0,15.27,Major Delay
Urban,Local Bus,6,4,Rain,1.11,53.18,45.55,14.78,26,13.89,Average,11.71,0,22.89,Major Delay
Urban,Feeder Bus,18,3,Clear,1.53,40.48,64.09,14.56,14,6.91,Good,7.52,0,7.06,Moderate Delay
Rural,Express Bus,6,2,Cloudy,3.75,50.44,77.21,10.76,26,2.0,Good,8.27,0,11.5,Moderate Delay
Urban,Feeder Bus,13,3,Cloudy,3.76,58.19,66.5,18.13,8,10.38,Good,7.88,0,8.68,Moderate Delay
Rural,Feeder Bus,17,5,Rain,0.64,74.62,31.9,13.03,34,14.81,Poor,2.39,0,23.85,Major Delay
Urban,Feeder Bus,22,1,Rain,3.56,73.44,52.33,21.36,23,12.17,Good,0.0,0,17.79,Major Delay
Rural,Local Bus,9,1,Clear,1.77,13.34,86.59,3.73,32,13.01,Average,7.49,0,8.37,Moderate Delay
